page,role,project,caption,source_path,confidence,flag
1,cover,"UBC Musqueam Crosswalk (UBC, Vancouver)",Catalogue 2026 / Decorative Pavement Solutions,_archive/design-assets/catalog-print-build/assets/booklet/UBC Crosswalk 1.png,high,Cover photo also reused at p68 (mislabeled York Region) and p73 (correct UBC project).
2,title / brand (no photo),-,HUB SURFACE SYSTEMS / Catalogue 2026 / Established 1994,-,high,
3,contents (no photo),-,"What's Inside — Products 11, Applications 36, Projects 56, Network 99, Reference 106, Lunch & Learn 109, Contact 110",-,high,
4,editorial text (no photo),-,The people who made your city look like your city.,-,high,
5,editorial text / stat cards (no photo),-,"Why HUB — The durable decorative hardscape. 30+ Years / 1,000+ Projects / 500+ Municipalities / 20yr Performance",-,high,Stat block repeated on p7; '30+ Years — Installations across North America' is non-Canadian phrasing; '500+' unverifiable; '20yr' is service-life not warranty.
6,editorial text (no photo),-,"If it goes on the street, it stays on the street. (Four Reasons)",-,high,'6 to 8 times longer than paint' OK; applies to thermoplastic/MMA line.
7,editorial text / stats (no photo),-,"By the Numbers — 30+ / 1,000+ / 500+ / 20yr",-,high,Duplicate of the p5 stat block (same four stats restated).
8,editorial text (no photo),-,Asphalt is the canvas. The city is the gallery.,-,high,
9,full-bleed editorial,Transit station plaza (unidentified),(no caption),unconfirmed,low,Plain broom-finished concrete transit plaza; no visible HUB decorative product; source unconfirmed; weak as a showcase image.
10,full-bleed editorial,"Little Italy / The Drive (Commercial Dr, Vancouver)","From every intersection, a statement.",public/images/applications/community-branding/community-branding-04.jpg,high,DUPLICATE image — same photo reused at p34 and p76 (3x).
11,section opener,York Region imprinted-asphalt transit install,SECTION ONE — Products.,public/images/blog/imprinted-asphalt-york-transit/featured.jpg,high,
12,product photo (left),TrafficPatternsXD — green reinforced crosswalk,When the surface has to hold.,public/images/products/traffic-patterns-xd/traffic-patterns-xd-05.jpg,medium,
13,product spec (no photo),TrafficPatternsXD,Heavy-duty thermoplastic. 150 mil. (spec grid),-,high,"CLAIM: spec grid lists 'Retroreflectivity: Glass beads — full depth' — data sheet says TPXD is NON-reflective (anti-skid aggregate, not glass beads)."
14,product photo (left),TrafficPatterns — Indigenous-art medallion crosswalk,"Outlasts paint by seasons, not months.",public/images/products/traffic-patterns/traffic-patterns-05.jpg,high,"Image reads as DecoMark/Indigenous art, not a standard preformed thermoplastic crosswalk (product-image mismatch). Build map later switched to tp-10 (red brick)."
15,product spec (no photo),TrafficPatterns,Standard thermoplastic. 125 mil. (spec grid),-,high,CLAIM: 'Full-depth glass beads' / body 'retroreflective glass beads' — TP is non-reflective per data sheet (anti-skid Mohs 8).
