page_v50,section,subject,role,status,source_path
01,Front,Cover,full-bleed,MISSING-FILE,assets/booklet/UBC Crosswalk 1.png
11,Opener/DPS,products,full-bleed,AUTHENTIC-BLOG,public/images/blog/imprinted-asphalt-york-transit/featured.jpg
36,Opener/DPS,applications,full-bleed,APP-GALLERY,public/images/applications/crosswalks/crosswalks-06.jpg
56,Opener/DPS,projects,full-bleed,AUTHENTIC-BLOG,public/images/blog/multimodal-connectivity-york-region/featured.jpg
~95,Opener/DPS,network,full-bleed,APP-GALLERY,public/images/applications/bus-lanes/bus-lanes-03.jpg
~102,Opener/DPS,reference,full-bleed,APP-GALLERY,public/images/applications/bike-lanes/bike-lanes-09.jpg
34,Opener/DPS,editorial_products,full-bleed,AUTHENTIC-BLOG,public/images/blog/decorative-crosswalk-commercial-drive/featured.jpg
35,Opener/DPS,editorial_products_r,full-bleed,APP-GALLERY,public/images/applications/community-branding/community-branding-03.jpg
75,Opener/DPS,editorial_projects,full-bleed,APP-GALLERY,public/images/applications/community-branding/community-branding-10.jpg
~108,Opener/DPS,editorial_closing,full-bleed,AUTHENTIC-BLOG,public/images/blog/spirit-trail-wayfinding-vancouver/featured.jpg
09,Opener/DPS,dps_a_left,full-bleed,AUTHENTIC-BLOG,public/images/blog/richmond-brighouse-crosswalk/featured.jpeg
10,Opener/DPS,dps_a_right,full-bleed,AUTHENTIC-BLOG,public/images/blog/branded-crosswalks-vancouver-richmond/featured.jpg
54,Opener/DPS,dps_b_left,full-bleed,APP-GALLERY,public/images/applications/community-branding/community-branding-05.jpg
55,Opener/DPS,dps_b_right,full-bleed,APP-GALLERY,public/images/applications/community-branding/community-branding-12.jpg
~100,Opener/DPS,dps_c_left,full-bleed,AUTHENTIC-BLOG,public/images/blog/parc-riviera-streetbond-walkway/featured.jpg
~101,Opener/DPS,dps_c_right,full-bleed,APP-GALLERY,public/images/applications/community-branding/community-branding-13.jpg
12,Product,TrafficPatternsXD,hero,PRODUCT-GALLERY,public/images/products/traffic-patterns-xd/traffic-patterns-xd-05.jpg
14,Product,TrafficPatterns,hero,PRODUCT-GALLERY,public/images/products/traffic-patterns/traffic-patterns-05.jpg
16,Product,StreetBond,hero,PRODUCT-GALLERY,public/images/products/streetbond/streetbond-112.jpg
18,Product,StreetPrint,hero,PRODUCT-GALLERY,public/images/products/streetprint/streetprint-40.jpg
