id,product_area,claim_as_printed_in_catalogue,catalogue_location,source_checked,status,recommended_final_wording,notes
1,StreetBond,"Bonds at the molecular level. Will not peel.","Product spec subhead (~p17), catalog_content.py line 149",https://hubss.com/products/streetbond,LIABILITY-SOFTEN + UNSUPPORTED,"Flexible acrylic engineered to resist peeling, cracking, and fading.","'Molecular' bonding is NOT on hubss.com — drop it. 'Will not peel' matches the website's 'will not peel or crack' but is an absolute liability claim; recommend softening in BOTH catalogue and website."
2,StreetBond,"BC Ministry of Transportation recognized.","Product body (~p17), catalog_content.py line 152; also appears in CITIES list line 521",https://hubss.com/products/streetbond,UNVERIFIED-NEEDS-SOURCE,"Specified by Canadian municipalities and transportation authorities coast to coast.","hubss.com does NOT claim BC MoTI recognition (says 'Canadian municipalities and DOT authorities'). Could not confirm StreetBond on a BC MoTI Recognized Products list. KEEP ONLY if Doug supplies the listing/approval document; otherwise use the site wording. 'BC Ministry of Transport' in the cities list shares this dependency."
3,DuraTherm,"Inlaid into a milled groove — flush with the road; zero profile for plow blades.","Product spec (~p27), catalog_content.py lines 205-216",https://hubss.com/products/duratherm,VERIFIED,"Keep as written.","Brief §5 worried hubss.com said 'stamped templates' — STALE. The live site now says 'Inlaid flush-mount thermoplastic ... milled groove — flush with surface.' Catalogue matches and is correctly distinct from StreetPrint (stamped asphalt)."
4,StreetBondSR,"Initial Solar Reflectance >= 0.33 — meets LEED v4 SS Credit: Heat Island Reduction.","Product spec (~p25), catalog_content.py lines 193-204",https://hubss.com/products/streetbondsr,VERIFIED,"Keep as written.","Site states 'Initial Solar Reflectance >= 0.33 (meets LEED threshold)' and 'LEED v4 SS Credit: Heat Island Reduction.' Exact match. LEED/SR claim is correctly attached to StreetBondSR (not misattributed)."
5,MMAX,"Methyl methacrylate. 45-60 min cure. Applies at +3°C and rising.","Product spec (~p23), catalog_content.py lines 181-192",https://hubss.com/products/mmax,VERIFIED,"Keep as written.","Site confirms '45-60 minutes (traffic-ready)', 'Methyl Methacrylate (MMA) resin', '+3°C and rising'. All match."
6,MMAX,"Bond strength above 3 MPa.","York VIVA BRT story (~p58) and Bike Lanes application (~p?), catalog_content.py lines 270 & 335",https://hubss.com/products/mmax,UNVERIFIED-NEEDS-SOURCE,"Bond strength above acrylic and epoxy alternatives.","hubss.com gives NO MPa figure — only 'bond strength above acrylic and epoxy alternatives.' The specific '3 MPa' needs the MMA manufacturer data sheet. Soften unless data sheet confirms."
7,AirMark,"Non-runway airfield surfaces (taxiways, aprons, helipads).","Product spec (~p33), catalog_content.py lines 247-259",https://hubss.com/products/airmark,VERIFIED,"Keep as written.","Site: 'non-runway airfield markings ... taxiways, aprons, helipads.' Exact match. Brief §5 said keep this scoping — confirmed accurate."
8,AirMark,"4x service life vs painted alternatives / outlasts paint by four to one.","Product callout + body (~p33), catalog_content.py lines 254-256",https://hubss.com/products/airmark,UNVERIFIED-NEEDS-SOURCE,"Outlasts painted alternatives — no annual repaint cycle.","Site says 'significantly outlasts painted alternatives' with NO 4x multiplier. Remove the '4x' figure unless a data sheet supports it; the qualitative claim is safe."
9,Company stat,"30+ Years","Why HUB stats (~p5) and Hub Numbers (~p7), catalog_content.py line 94",https://hubss.com/about,VERIFIED,"Keep.","Site: '30+ Years in Business.'"
10,Company stat,"1,000+ Projects","Why HUB stats (~p5), catalog_content.py line 95",https://hubss.com/about,VERIFIED,"Keep.","Site: '1,000+ Projects Completed.'"
