page,product,claim_as_printed,source_url,verified,final_wording,notes
13,TrafficPatternsXD,Retroreflectivity: Glass beads — full depth,public/docs/TrafficPatternsXD (Ennis-Flint TS001/TS002),no,Anti-skid: performance aggregate through full cross-section,"TPXD is a NON-reflective product; anti-skid aggregate (Mohs ~6), not glass beads. Glass beads belong to PreMark beaded/ViziGrip variants."
13,TrafficPatternsXD,150 mil aggregate-reinforced,public/docs/TrafficPatternsXD (TS002 cross-section),yes,,Confirmed 150 mil panel thickness.
15,TrafficPatterns,Full-depth glass beads / 'retroreflective glass beads embedded through the full cross-section',public/docs/TrafficPatterns (TrafficPatterns-Solid-Sheets-125-Specification),no,Anti-skid elements through full cross-section (Mohs 8),TP is non-reflective per data sheet; pair with PreMark beaded where retroreflectivity is required.
15,TrafficPatterns,125 mil preformed,public/docs/TrafficPatterns,yes,,Spec confirms 125 mil (3.18 mm) minimum.
17,StreetBond,Bonds at the molecular level. Will not peel.,public/docs/StreetBond (SB150 TDS; StreetBond Brochure),no,"A flexible epoxy-modified acrylic that bonds tightly to asphalt and moves with the pavement — engineered to resist peeling, delaminating, and cracking.",'Molecular bond' appears in NO source. 'Will not peel' is an absolute liability claim; measured adhesion 300–1400 psi (ASTM D4541).
17,StreetBond,Available ... plus full custom Pantone matching / Colour: Full Pantone matching,https://hubss.com/products + StreetBond-Colour-Guide.pdf,no,73+ standard colours plus full custom colour matching,"StreetBond docs do NOT mention Pantone; Pantone/PMS codes are published for the TrafficPatterns line, not StreetBond."
17,StreetBond,BC Ministry of Transportation recognized,"BC Recognized Products List, May 2 2026 (gov.bc.ca)",no,(remove from StreetBond),StreetBond does NOT appear on the BC list. DuraTherm (1061) IS listed under Accepted Products (Preformed Thermoplastic) — move the claim there.
17,StreetBond,Flexible acrylic (Type),public/docs/StreetBond (SB150 TDS),partial,Two-component waterborne epoxy-modified acrylic,"TDS describes a 2-component waterborne epoxy-modified acrylic, not a plain acrylic."
17,StreetBond,30–50 sq ft per gallon,public/docs/StreetBond (SB150 TDS),partial,,Coverage figure to confirm against the current TDS application rate.
19,StreetPrint,12+ patterns,public/docs/StreetPrint (Template Catalog),partial,100+ patterns across 15 families plus fully custom designs,Understated — the template library is 100+ patterns across 15 families.
19,StreetPrint,Snowplow safe — flush surface,public/docs/StreetPrint (StreetPrint-Asphalt-Texturing-Specification),yes,,"Flush surface, no raised edges — accurate."
21,DecoMark,Colour: Custom Pantone,public/docs/DecoMark; TrafficPatterns-Colour-Guidelines.pdf,partial,Custom colour matching (PMS references available),Pantone is defensible for the preformed thermoplastic line; keep but ensure consistency with StreetBond wording (StreetBond must NOT use Pantone).
23,MMAX,45–60 min cure / traffic-ready,https://hubss.com/products/mmax,yes,45–60 minutes (traffic-ready),Matches live site; conservative vs. data-sheet cure (15–30 min @75°F). Avoid a hard '45-minute cure' spec.
