page_v54,section,role,depicts,caption_or_headline,product,location,source_path,source_status,dedup_notes
1,Front,cover,Whiterock pier crosswalk hero,"Catalogue 2026 / REDEFINING HARDSCAPES",TrafficPatternsXD,"White Rock, BC","assets/booklet/Whiterock-Pier-Crosswalk-TrafficPatternsXD-1 1.png",MAPPED-BOOKLET,"Hero also used on cover & project p99 — confirm intentional cover/project echo"
2,Front,inside-front,Walking on crosswalk,"ESTABLISHED 1994",,,"assets/booklet/HUB Catalogue 2024 (walking) 1.png",MAPPED-BOOKLET,
3,Front,toc,Table of contents,"WHAT'S INSIDE — Products 11 / Applications 37 / Projects 75 / Network 118 / Reference 125 / L&L 128 / Contact 129",,,,TEXT-PAGE,"TOC must be repaginated +2 after colour-spread insertion (see COLOUR-SPREAD-PLAN.md)"
4,Front,manifesto,Editorial,"The people who made your city look like your city",,Canada,,TEXT-PAGE,"Verify background image source if any"
5,Front,stat-spread,Why HUB stats,"WHY HUB — 30+ years / 1,000+ projects",,,,TEXT-PAGE,"Stats cross-checked in CLAIMS-VERIFICATION.csv"
6,Front,stat-spread,Four reasons,"FOUR REASONS — freeze-thaw, salts, plows",,,,TEXT-PAGE,
7,Front,stat-spread,By the numbers,"BY THE NUMBERS — 30+ / 1,000+ / 10 provinces",,,,TEXT-PAGE,
8,Front,manifesto,Position statement,"Asphalt is the canvas. The city is the gallery.",,,,TEXT-PAGE,
9,Front,full-bleed,Photographic spread,"(full-bleed)",,,,FIGMA-ID-NEEDED,"Identify source photo; check it is not duplicated elsewhere"
10,Front,overlay-caption,The Work intro,"THE WORK — From every intersection, a statement",,,,FIGMA-ID-NEEDED,"Overlay caption — verify scrim contrast >=4.5:1"
11,Products,divider,Section One divider,"SECTION ONE — Products",,,,TEXT-PAGE,"Dark divider — apply Products section accent colour (§8 nav)"
12,Products,product-name,TPXD name page,"TRAFFICPATTERNSXD — When the surface has to hold",TrafficPatternsXD,,"assets/booklet/Intersection installation TPXD 1.png",MAPPED-BOOKLET,
13,Products,product-spec,TPXD spec grid,"150-mil aggregate-reinforced thermoplastic",TrafficPatternsXD,,"assets/booklet/IMG_1347 1.png",MAPPED-BOOKLET,"Spec grid must match p126 table & TDS"
14,Products,product-name,TP name page,"TRAFFICPATTERNS — Outlasts paint by seasons",TrafficPatterns,,"assets/booklet/Intergrated Rumble Bars (TrafficPatterns) 1.png",MAPPED-BOOKLET,
15,Products,product-spec,TP spec grid,"125-mil preformed, heat-fused",TrafficPatterns,,"assets/booklet/Intergrated Rumble Bars 2 (TrafficPatterns) 1.png",MAPPED-BOOKLET,"catalog.yaml says 90mil — reconcile to 125mil"
16,Products,product-name,StreetBond name page,"STREETBOND — Coloured pavement that moves with asphalt",StreetBond,"Vancouver, BC","assets/booklet/StreetBond - Vancouver sidewalk 1.png",MAPPED-BOOKLET,
17,Products,product-spec,StreetBond spec grid + RAINBOW LOGO,"The colour system / resist peeling, cracking, fading",StreetBond,,"assets/booklet/StreetBond Circle Design 1.png",MAPPED-BOOKLET,"§5: place streetbond-Full Color-wh.png (light-bg) on white body, NOT dark band"
18,Products,product-name,StreetPrint name page,"STREETPRINT — Stamped asphalt at a fraction of stone's cost",StreetPrint,"Surrey, BC","assets/booklet/StreetPrint - Maridian Surrey 1.png",MAPPED-BOOKLET,"§7.3: add Reheat>Stamp>Coat process strip on/facing this page"
19,Products,product-spec,StreetPrint spec grid,"12+ patterns, flush, snowplow safe",StreetPrint,,"assets/booklet/StreetPrint walkway 1.png",MAPPED-BOOKLET,
20,Products,product-name,DecoMark name page,"DECOMARK — A crosswalk is a canvas",DecoMark,,"assets/booklet/DecoMark community park 1.png",MAPPED-BOOKLET,
21,Products,product-spec,DecoMark spec grid,"Custom graphics, Pride, Indigenous art",DecoMark,,"assets/booklet/DecoMark community park 2 1.png",MAPPED-BOOKLET,
22,Products,product-name,MMAX name page,"MMAX — Traffic-ready overnight",MMAX,,"assets/booklet/Look listen live 1.png",MAPPED-BOOKLET,"Hero shared with project Look Listen Live — verify acceptable reuse"
