product,page_v54,claim_as_printed,source,verified,final_wording,notes
TrafficPatternsXD,13,"150-mil aggregate-reinforced thermoplastic","PPG/Ennis-Flint TDS; PRODUCT-CLAIMS-AUDIT.md",Verified,"150-mil aggregate-reinforced thermoplastic","XD comes in 125 & 150 mil; confirm SKU at order"
TrafficPatternsXD,13,"Built for BRT corridors and high-volume traffic","qualitative; matches use-case",Verified,"Built for BRT corridors and high-volume traffic",
TrafficPatternsXD,87,"Outlasts paint by eight times (8x)","PPG marketing implies 6-8x paint",Plausible-Softened,"Outlasts paint by many times over / multi-year service","Specific 8x ratio not independently sourced; prefer magnitude language or cite an installation report. VERNON'S CALL to keep the number"
TrafficPatternsXD,13,"BPN 65+ skid (if present)","PPG describes enhanced skid but publishes NO BPN number",Softened,"High skid resistance — aggregate-reinforced surface","Restore number only with a BPN test report from a real install"
TrafficPatterns,15,"125-mil preformed, heat-fused, no repaint cycle","PPG TDS",Verified,"125-mil preformed thermoplastic, heat-fused, no repaint cycle","NB ReportLab catalog.yaml says 90mil for TP — reconcile to 125mil per data sheet & p126 table"
TrafficPatterns,89,"High-visibility holds through winter","qualitative",Verified,"High-contrast thermoplastic holds colour through the season",
StreetBond,17,"Flexible acrylic engineered to resist peeling, cracking, and fading","PRODUCT-CLAIMS-AUDIT.md (already softened from 'will not peel')",Verified,"Flexible acrylic engineered to resist peeling, cracking, and fading","§6 softening ALREADY APPLIED in v54. Do NOT reintroduce absolute 'will not peel'"
StreetBond,17,"Bonds to the substrate / moves with asphalt","TDS: mechanical + chemical key into asphalt texture",Softened,"Bonds to the substrate and flexes with pavement movement","Avoid 'bonds at the molecular level' overclaim flagged in §6"
StreetBond,17,"Full Pantone custom matching","standard",Verified,"Full Pantone custom matching",
StreetBond,N/A,"BC Ministry of Transportation recognized","NOT found in public BC MoTI recognized-product list",Vernon's-call,"Specified by Canadian municipalities and DOT authorities","Restore only with written BC MoTI confirmation. Not observed in v54 alt text — verify it is not printed anywhere"
StreetBondSR,25,"Initial SRI >= 0.33; LEED v4 SS Credit: Heat Island Reduction","LEED v4 SS Heat Island Reduction; PRODUCT-CLAIMS-AUDIT.md",Verified-VerifyVersion,"Initial Solar Reflectance >= 0.33 — contributes to LEED Heat Island Reduction credit","Confirm whether LEED v4 or v4.1 is current credit name before print (§4). Old 'LEED 7.1 non-roof' is a prior LEED version — do NOT use"
StreetBondSR,25,"Cool surface coating / solar reflective","manifest COLOUR-MANIFEST.csv SR values",Verified,"Solar-reflective cool surface coating","11 SR colours w/ SRI 31-73 per manifest; print SRI under each chip on colour spread Page B"
StreetPrint,19,"Stamped asphalt, 12+ patterns, flush surface, snowplow safe","standard; PRODUCT-CLAIMS-AUDIT.md",Verified,"Genuine stamped asphalt, 12+ patterns, flush surface, snowplow safe","Keep clearly distinct from DuraTherm (inlaid). Add StreetPrint process strip per §7.3"
DecoMark,21,"Custom graphic preformed thermoplastic; Pantone","standard",Verified,"Custom-graphic preformed thermoplastic, full Pantone matching",
DecoMark,21,"5+ year service life (if present)","unsourced specific number",Softened,"Multi-year service in municipal use","Avoid specific year number unless TDS-sourced"
MMAX,23,"MMA resin, methyl methacrylate, 45-60 min cure, applies at +3C and rising","PPG TDS; PRODUCT-CLAIMS-AUDIT.md (fixed from -10C)",Verified,"MMA resin lane coating, 45-60 min cure, applies at +3C and rising","CRITICAL: never restore -10C application temp (failed-install risk). v54 already correct at +3C"
MMAX,23,"Bond strength >3 MPa (if present)","MMA typ 2.5-4 MPa; specific number needs TDS",Softened,"High bond strength — exceeds typical acrylic/epoxy systems",
